Date,Open,High,Low,Close,Adj Close,Volume
2011-01-01,14.926926612854004,16.090089797973633,14.903654098510742,15.02402400970459,15.02402400970459,2396976624
2011-02-01,15.127376556396484,15.795294761657715,15.048798561096191,15.350350379943848,15.350350379943848,1673085240
2011-03-01,15.459959983825684,15.495996475219727,13.795796394348145,14.683684349060059,14.683684349060059,2403154440
2011-04-01,14.733734130859375,14.894644737243652,12.987988471984863,13.61611557006836,13.61611557006836,2806858332
2011-05-01,13.656155586242676,13.656907081604004,12.847847938537598,13.238739013671875,13.238739013671875,1811302884
2011-06-01,13.214214324951172,13.343342781066895,11.837336540222168,12.672171592712402,12.672171592712402,2362638996
2011-07-01,12.681180953979492,15.703203201293945,12.672171592712402,15.107357025146484,15.107357025146484,3238977780
2011-08-01,15.295796394348145,15.402902603149414,12.283783912658691,13.537537574768066,13.537537574768066,4266752976
2011-09-01,13.532281875610352,13.976977348327637,12.775275230407715,12.88888931274414,12.88888931274414,2342842812
2011-10-01,12.75900936126709,15.0825834274292,12.027027130126953,14.830830574035645,14.830830574035645,3085531380
2011-11-01,14.517017364501953,15.472972869873047,14.047296524047852,14.999750137329102,14.999750137329102,2409607980
2011-12-01,15.0150146484375,16.185184478759766,14.989990234375,16.163663864135742,16.163663864135742,2199698100
2012-01-01,16.339839935302734,16.77302360534668,14.127878189086914,14.517267227172852,14.517267227172852,2942758296
2012-02-01,14.638137817382812,15.655655860900879,14.492993354797363,15.471721649169922,15.471721649169922,1892689416
2012-03-01,15.57207202911377,16.481231689453125,14.860860824584961,16.047046661376953,16.047046661376953,1891314792
2012-04-01,16.03528594970703,16.344844818115234,14.769769668579102,15.136385917663574,15.136385917663574,2352752892
2012-05-01,15.10986042022705,15.962211608886719,14.48948860168457,14.536035537719727,14.536035537719727,2344585068
2012-06-01,14.309059143066406,14.71196174621582,13.926926612854004,14.516265869140625,14.516265869140625,1858311828
2012-07-01,14.560059547424316,16.08108139038086,14.066315650939941,15.840089797973633,15.840089797973633,2049412536
2012-08-01,15.948448181152344,17.241992950439453,15.600851058959961,17.144393920898438,17.144393920898438,1880649468
2012-09-01,17.13088035583496,19.14139175415039,16.854354858398438,18.881380081176758,18.881380081176758,2404696896
2012-10-01,18.9952449798584,19.37887954711914,16.759258270263672,17.024524688720703,17.024524688720703,2869080048
2012-11-01,17.004505157470703,17.497997283935547,15.915916442871094,17.476726531982422,17.476726531982422,1865300832
2012-12-01,17.57357406616211,18.245746612548828,17.07532501220703,17.70220184326172,17.70220184326172,1666152180
2013-01-01,18.003503799438477,19.04279327392578,17.405405044555664,18.911161422729492,18.911161422729492,2094111792
2013-02-01,18.973974227905273,20.24449348449707,18.971471786499023,20.050050735473633,20.050050735473633,1851762384
2013-03-01,19.9649658203125,21.12112045288086,19.852352142333984,19.874624252319336,19.874624252319336,1700254044
2013-04-01,19.895145416259766,20.711711883544922,19.05055046081543,20.634885787963867,20.634885787963867,2139945912
2013-05-01,20.602102279663086,23.03803825378418,20.429428100585938,21.80230140686035,21.80230140686035,1974715308
2013-06-01,21.846847534179688,22.793794631958008,21.201702117919922,22.031280517578125,22.031280517578125,1941280776
2013-07-01,22.183433532714844,23.223222732543945,21.91216278076172,22.215965270996094,22.215965270996094,2047770180
2013-08-01,22.397396087646484,22.76551628112793,21.160160064697266,21.193693161010742,21.193693161010742,1338144516
2013-09-01,21.380380630493164,22.672422409057617,21.370119094848633,21.91967010498047,21.91967010498047,1323615060
2013-10-01,22.028278350830078,26.064064025878906,21.095596313476562,25.79029083251953,25.79029083251953,2206771020
2013-11-01,25.820571899414062,26.726726531982422,25.150150299072266,26.516265869140625,26.516265869140625,1049213736
2013-12-01,26.614364624023438,28.05305290222168,26.251752853393555,28.045795440673828,28.045795440673828,1352374272
2014-01-01,27.914413452148438,29.693193435668945,27.083833694458008,29.553804397583008,29.553804397583008,2178287532
2014-02-01,29.509510040283203,30.75275230407715,28.228729248046875,30.421672821044922,30.421672821044922,1620230148
2014-03-01,30.198949813842773,30.705455780029297,27.580080032348633,27.890640258789062,27.890640258789062,1744505748
